threshold,category,ratio
1,AddressObjectType,0.506224734
2,AddressObjectType,0.26642319
3,AddressObjectType,0.164989893
4,AddressObjectType,0.115054208
5,AddressObjectType,0.078509739
6,AddressObjectType,0.052737964
7,AddressObjectType,0.032570746
8,AddressObjectType,0.020488791
9,AddressObjectType,0.012219772
10,AddressObjectType,0.007602903
11,AddressObjectType,0.004364204
12,AddressObjectType,0.002319919
13,AddressObjectType,0.000964719
14,AddressObjectType,3.45E-04
15,AddressObjectType,6.89E-05
16,AddressObjectType,0
17,AddressObjectType,0
18,AddressObjectType,0
19,AddressObjectType,0
20,AddressObjectType,0
21,AddressObjectType,0
22,AddressObjectType,0
23,AddressObjectType,0
24,AddressObjectType,0
25,AddressObjectType,0
26,AddressObjectType,0
27,AddressObjectType,0
28,AddressObjectType,0
29,AddressObjectType,0
30,AddressObjectType,0
31,AddressObjectType,0
32,AddressObjectType,0
33,AddressObjectType,0
34,AddressObjectType,0
35,AddressObjectType,0
36,AddressObjectType,0
37,AddressObjectType,0
38,AddressObjectType,0
39,AddressObjectType,0
40,AddressObjectType,0
1,FileObjectType,0.97295301
2,FileObjectType,0.966360925
3,FileObjectType,0.963099762
4,FileObjectType,0.960274583
5,FileObjectType,0.957458124
6,FileObjectType,0.954449831
7,FileObjectType,0.951642092
8,FileObjectType,0.948250133
9,FileObjectType,0.945145924
10,FileObjectType,0.941658049
11,FileObjectType,0.93854512
12,FileObjectType,0.935554267
13,FileObjectType,0.932476217
14,FileObjectType,0.928970902
15,FileObjectType,0.925090641
16,FileObjectType,0.921567887
17,FileObjectType,0.917347558
18,FileObjectType,0.912839479
19,FileObjectType,0.907180402
20,FileObjectType,0.90080631
21,FileObjectType,0.89409215
22,FileObjectType,0.885869484
23,FileObjectType,0.877219553
24,FileObjectType,0.868796334
25,FileObjectType,0.85913492
26,FileObjectType,0.846517531
27,FileObjectType,0.83143247
28,FileObjectType,0.814830184
29,FileObjectType,0.797852951
30,FileObjectType,0.780230461
31,FileObjectType,0.761448253
32,FileObjectType,0.742299818
33,FileObjectType,0.722881072
34,FileObjectType,0.701953821
35,FileObjectType,0.680459789
36,FileObjectType,0.656968949
37,FileObjectType,0.632632299
38,FileObjectType,0.608906028
39,FileObjectType,0.587054489
40,FileObjectType,0.566842252
1,DomainNameObjectType,0.400331431
2,DomainNameObjectType,0.23298349
3,DomainNameObjectType,0.138599399
4,DomainNameObjectType,0.112471614
5,DomainNameObjectType,0.09079973
6,DomainNameObjectType,0.076210643
7,DomainNameObjectType,0.063475112
8,DomainNameObjectType,0.040502056
9,DomainNameObjectType,0.02308967
10,DomainNameObjectType,0.012747806
11,DomainNameObjectType,0.00630332
12,DomainNameObjectType,2.60E-03
13,DomainNameObjectType,7.18E-04
14,DomainNameObjectType,1.78E-04
15,DomainNameObjectType,4.91E-05
16,DomainNameObjectType,1.23E-05
17,DomainNameObjectType,6.14E-06
18,DomainNameObjectType,0
19,DomainNameObjectType,0
20,DomainNameObjectType,0
21,DomainNameObjectType,0
22,DomainNameObjectType,0
23,DomainNameObjectType,0
24,DomainNameObjectType,0
25,DomainNameObjectType,0
26,DomainNameObjectType,0
27,DomainNameObjectType,0
28,DomainNameObjectType,0
29,DomainNameObjectType,0
30,DomainNameObjectType,0
31,DomainNameObjectType,0
32,DomainNameObjectType,0
33,DomainNameObjectType,0
34,DomainNameObjectType,0
35,DomainNameObjectType,0
36,DomainNameObjectType,0
37,DomainNameObjectType,0
38,DomainNameObjectType,0
39,DomainNameObjectType,0
40,DomainNameObjectType,0
1,URIObjectType,0.978027751
2,URIObjectType,0.95898638
3,URIObjectType,0.934976652
4,URIObjectType,0.911017593
5,URIObjectType,0.87689247
6,URIObjectType,0.832691954
7,URIObjectType,0.76717257
8,URIObjectType,0.684686631
9,URIObjectType,0.600485902
10,URIObjectType,0.518829356
11,URIObjectType,0.443277249
12,URIObjectType,0.372117459
13,URIObjectType,0.305523331
14,URIObjectType,0.24272681
15,URIObjectType,0.18369856
16,URIObjectType,0.129595998
17,URIObjectType,0.084430079
18,URIObjectType,0.049606238
19,URIObjectType,0.025623178
20,URIObjectType,0.011542164
21,URIObjectType,4.44E-03
22,URIObjectType,1.59E-03
23,URIObjectType,4.48E-04
24,URIObjectType,0.000101341
25,URIObjectType,4.00E-05
26,URIObjectType,1.07E-05
27,URIObjectType,5.33E-06
28,URIObjectType,0
29,URIObjectType,0
30,URIObjectType,0
31,URIObjectType,0
32,URIObjectType,0
33,URIObjectType,0
34,URIObjectType,0
35,URIObjectType,0
36,URIObjectType,0
37,URIObjectType,0
38,URIObjectType,0
39,URIObjectType,0
40,URIObjectType,0
